字符  出现次数  对应的编码                                        
M         1             111010010                                             
z         1             111010011                                             
y         2             111111111                                             
B         2             10011110                                              
N         1             111100100                                             
v         3             11110011                                              
k         4             1001110                                               
'         5             1110101                                               
C         6             1111100                                               
F         1             111100101                                             
.         11            111101                                                
w         6             1111101                                               
d         14            10000                                                 
p         5             1111000                                               
s         25            0000                                                  
A         2             10011111                                              
m         13            01000                                                 
c         9             111000                                                
-         3             11111110                                              
a         27            0101                                                  
b         6             1111110                                               
g         7             100110                                                
o         29            0111                                                  
r         27            0110                                                  
f         10            111011                                                
          63            101                                                   
h         15            10001                                                 
T         2             11101000                                              

         13            01001                                                 
e         53            001                                                   
n         32            1100                                                  
i         37            1101                                                  
l         15            10010                                                 
t         25            0001                                                  
u         9             111001                                                
O         1             111111110                                             
